merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
GE/SPONTACTS,spontacts,5734,4319573039,AT,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
C52A3 SPORTS E,sports,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
GOOGLE *PLAY PASS,google play pass,5734,G.CO/HELPPAY#,IE,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
CARREFOUR BOROA HUESC,carrefour boroa huesc,5411,HUESCA,ES,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
O17632734399686508 APP BR,,9311,TORINO,IT,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule
WILLHABEN 2013674788,willhaben,5331,VIENNA,AT,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Variety Stores,0.95,rule_based,mcc_rule
FOODORA_AT_QVH5-2507-3,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
FOODORA_AT_I2L2-2532-M,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
COMFORT/CITYCAB TAXI,comfort citycab taxi,4121,SINGAPORE,SG,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
MONZO * ME ALANA MCNEIL,monzo alana mcneil,6012,448008021456,GB,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule
LIME*PASS DAKF,lime pass dakf,4789,MILAN,IT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
DINKINS BAKERY MONAGHAN,dinkins bakery monaghan,5812,MONAGHAN,IE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
GOPAY  *OFFICEO.CZ,gopay officeo,5943,HOSTIVICE,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Office Supplies,0.0,rule_based,
SKYSHOWTIME 7FFC4 STANDAR,skyshowtime standar,4899,AMSTERDAM,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
254 GECO VAM DEKUJE,geco vam dekuje,5993,LIBEREC,CZ,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
ACS*20918721 THREE,acs three,4814,0107989541,NL,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule
AMAZON UK* W87HF12H5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
