merchant_description,merchant_token,mcc,city,country,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by
BOLT.EU/R/2407091523,bolt,4121,TALLINN,EE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
INDUS-SPICE IS LIFE,indus spice life,5814,IASI,RO,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
BIEDER&MAIER,bieder maier,5812,FLUGHAFEN W,AT,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
NYX*HELLAUTOMATAUEZEMELTE,nyx hellautomatauezemelte,5814,BUDAPESTXXII,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
HMUXC4OHAK3Y#TISSEO.FR#VC,tisseo,4111,TOULOUSE CEDE,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
VIPPS*WILLIAM JORDBREK,vipps william jordbrek,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
TOTAL NL000098 INGELDOR,total ingeldor,5541,INGELDORF,LU,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
SPINNEYS DUBAI LLC,spinneys dubai llc,5411,DUBAI,AE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
PAYPAL *ATPAUTOTEIL,paypal atpautoteil,5533,964792903416,DE,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
SALSAS M/AIR   L0487,salsas air,5812,MELB AIRPORT,AU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AGROTURISM COSTESTI SR,agroturism costesti,5814,TIMISOARA,RO,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
M.S. BELGIQUE  S.A.,belgique,5641,BRUSSEL,BE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Baby Clothing,0.95,rule_based,mcc_rule
SIMPLYBOOK.ME,simplybook,5734,LIMASSOL,CY,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
FOODORA_AT_UHKK-2537-YB1E,foodora uhkk,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
SPAR VAN ZON GOEDEREED,spar van zon goedereed,5411,GOEDEREEDE,NL,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
VOYO.SK 8727467444,voyo,4899,BRATISLAVA,SK,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
VIPPS*BIRTHE IREN FJOE,vipps birthe iren fjoe,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
ANNABEL,annabel,7922,ROTTERDAM,NL,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule
OTPMOBL*STRANDFESZTIVA,otpmobl strandfesztiva,7922,BUDAPEST,HU,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule
FOODORA_AT_CFL3-RWB6,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
DB FERNVERKEHR AG,fernverkehr,5812,FRANKFURT,DE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
COOP-1992 ONEX,coop onex,5311,ONEX,CH,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule
REVOLUT**0648*,revolut,4829,ZURICH,CH,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
PAYPAL *SHEIN COM,paypal shein,5621,15651895929,IE,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Women’s Clothing Stores,0.95,rule_based,mcc_rule
OMNIGEN*57.66 EUR,omnigen eur,5817,LONDON,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
UBR*PENDING.UBER.COM,ubr pending uber,4121,AMSTERDAM,NL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule
BI'BOROS,boros,5812,EGER,HU,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
SPILNU,spilnu,7995,ID:2665567806,DK,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
HEROKU* AUG-86344147,heroku aug,5734,WWW.HEROKU.CO,US,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
BISTRO SAPA,bistro sapa,5812,LIBEREC 1,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
XSOLLA _AURASIDE,xsolla auraside,5816,LIMASSOL,CY,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TOOGOODT 3R7XRG1TW7PC0,toogoodt,5812,TOOGOODTOGO.C,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AIRBALTIC9N64VM,,3304,RIGA,SI,,,Car Rental,Specific rental car companies,,0.0,rule_based,
GLS D22 KUNRATICE,gls kunratice,4215,PRAHA KUNRATI,CZ,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Courier Services,0.0,rule_based,
GAP US 7228,gap,5651,NEW YORK,US,Clothing & Apparel,Clothing stores,Apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule
SMILE DESIGNERS,smile designers,8021,BUDAPEST,HU,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",Dentists,0.95,rule_based,mcc_rule
POLIS BISTROT,polis bistrot,5814,ATHINA,GR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
ALENSA CZ,alensa,8043,360330450,CZ,Health & Pharmacy,Medical and health services,Healthcare,"Doctors, dentists, hospitals",Opticians,0.95,rule_based,mcc_rule
MAMMA BAO,mamma bao,5812,MUENCHEN,DE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
TV NOVA 8717290239,nova,4899,PRAHA 5,CZ,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
B A INTER1252166120719,,3005,LONDON,GB,Travel & Airlines,Airlines,Airlines,Individual airline merchant codes,Lufthansa,0.95,rule_based,mcc_rule
LIDL JYVASKYLA-FORUM,lidl jyvaskyla forum,5411,JYVASKYLA,FI,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
TOOGOODT 2R291A7Z925A0,toogoodt,5812,TOOGOODTOGO.N,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
VB BUSBETRIEB,busbetrieb,4789,BIEL/BIENNEBE,CH,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
1667E ENTS,ents,5815,DUBLIN 4,IE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GEMEINDE HORGEN,gemeinde horgen,9399,HORGEN     ZH,CH,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
UKVI,ukvi,9399,FF942B42-1A2D,GB,Government and Taxes,"Taxes, fines, government services",Government Payments,"Taxes, fees",Government Services,0.95,rule_based,mcc_rule
NLOV##HASH##,nlov hash,4111,WWW.OVPAY.NL,NL,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL SO1P4GKR,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
ROMPETROL RC034 FTA2 S,rompetrol,5541,FETESTI,RO,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
F7CE8,,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
CARLUNDCARLA.DE C O URBAN,carlundcarla urban,7512,S250621448 CA,DE,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
MCDONALDS 350,mcdonalds,5814,PARIS 16,FR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
LIME*LIQUIDACION P5AE,lime liquidacion,4789,BARCELONA,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
FOODORA_AT_XEFN-QSTM,foodora xefn qstm,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25343006797�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
WOW D3B80 ENTERTAI,wow entertai,5815,UNTERFOEHRING,DE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
EMB*GOFAST AG,emb gofast,5552,HENDSCHIKEN,CH,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule
FOODORA_AT_B29W-HY27,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
DELAWARE NORTH WEMBLEY,delaware north wembley,5814,WEMBLEY,GB,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
APTEKA PRZY PLACU ZBAW,apteka przy placu zbaw,5912,WARSZAWA,PL,Health & Pharmacy,Pharmacies,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule
32RED,,7995,2610052911,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
430F9 SKY CINE,sky cine,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
CARS TAXI SERVICES CO,cars taxi services,4111,DUBAI,AE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
7LHJVSV9KVIK,,7523,HOVE,GB,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
GRANJA SAN MIGUEL,granja san miguel,7011,SALEM,ES,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
BILLA,billa,5411,SALZBURG SA,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
HOT-EP KFT.,hot kft,7011,SUMEG,HU,Hotels & Accommodation,"Hotels, resorts",Personal Services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule
DREVO TRUST VYSOKE M.,drevo trust vysoke,5211,VYSOKE MYTO,CZ,,,Wholesale,"Durable goods wholesalers, industrial equipment",Lumber & Building Materials,0.0,rule_based,
AMAZON UK* ZR0R223D4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
LE CERF,cerf,5812,VINCENNES,FR,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
BAKKERIJ GIELIS,bakkerij gielis,5462,ZICHEM,BE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule
CADU,cadu,5812,MUNCHEN,DE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
PARKING ESTACIONES 2,parking estaciones,7523,DONOSTIA-SAN,ES,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
LIME*FAHRT BE4O,lime fahrt,4789,WIEN,AT,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
DELIJN##HASH##,delijn hash,4111,DL 91YEFUBF,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
VIPPS*LARS TORGEIRSSON,vipps lars torgeirsson,4829,OSLO,NO,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
WWW.AMAZON.* UF4H88NU5,amazon,5399,LUXEMBOURG,LU,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
FOODORA_AT_LNNT-GGGF,foodora lnnt gggf,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
LIME*RIDE Z6VS,lime ride,7519,BULGARIA,BG,,,Repair Services,"Automotive repair, equipment maintenance",,0.0,rule_based,
MOONPAY*EXODUS 3136,moonpay exodus,6051,MOONPAY.COM,IE,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule
AUDIBLE.DE*MH4FK2IL4,audible,5968,AUDIBLE.DE/RG,DE,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
TOOGOODT EWMZMK0NYMJ40,toogoodt,5812,TOOGOODTOGO.C,DK,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
DB VERTRIEB,vertrieb,4112,463516556940,DE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule
COOP PRONTO 3513,coop pronto,5411,BASEL      BS,CH,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL 898GF5E6,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
TPG TRANSPORTS PUBLICS AG,tpg transports publics,4789,GRAND-LANCY,CH,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
KAUFLAND RO 7370,kaufland,5411,CREVEDIA,RO,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
PAYPAL *SPOTIFY*P3C04D9,paypal spotify,5815,35314369001,SE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
LA METROPOLE MOB,metropole mob,4111,89264UI5G2U3�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
MOONPAY*RBGAMINGNV 6294,moonpay rbgamingnv,7995,MOONPAY.COM,IE,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
NVN* TRP FEE R38OF3,nvn trp fee,4722,PALO ALTO,US,Travel & Airlines,Travel agencies,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule
CAFE CO HU 112284,cafe,5499,VERESEGYHA,HU,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
NIVI SPA,nivi spa,9222,FIRENZE,IT,Government and Taxes,"Taxes, fines, government services",Government Services,"Court costs, fines, public services",Fines,0.95,rule_based,mcc_rule
TCL 69 LYO,tcl lyo,4111,V25275026678�,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL TCMJPQ4D,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
THE VILLAGE INN BAR AND R,the village inn bar and,5812,LOUGHREA,IE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
EDEKA OBERLE,edeka oberle,5411,WILLSTAETT,DE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
PAYPAL *GOOGLE GOOGLE,paypal google,5815,35314369001,GB,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
GOPAY *MEDOVINARNA.CZ,gopay medovinarna,5921,HTTPS://ESHOP,CZ,Bars & Alcohol,Liquor stores,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule
VONS #1753,vons,5411,BISHOP,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
AELIA DUTY FREE,aelia duty free,5309,FIUMICINO,IT,,,Wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,
WAL*MAISON AFFAIRS AG,wal maison affairs,5812,BERN,CH,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
WW DIGITAL,digital,5968,1802509509,DE,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
ONEKEY LIMITED,onekey limited,5999,30012A,HK,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,
PUBLIX #1774 000001774,publix,5411,STUART,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
WOW 7C4D0 CINEMA M,wow cinema,4899,UNTERFOEHRING,DE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
FOODORA_AT_TCT3-2521-Q,foodora,5499,WIEN,AT,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
INSTAGRAM.COM,instagram,7997,NEWTOWNABBEY,GB,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Membership Clubs,0.95,rule_based,mcc_rule
RAINBOW VAPES CORNER,rainbow vapes corner,5993,L LONDON,GB,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
AMAZON UK* ZA3AE31Y5,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
JIMDO INV03637659,jimdo,5734,HAMBURG BAHRE,DE,Electronics & Home,"Electronics, furniture, home stores",Home & Electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule
DIP *FARIDSACHAK,dip faridsachak,4829,VILNIUS,LT,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule
O BRIENS,briens,5812,SWORDS,IE,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
AMAZON UK* Z39581UU4,amazon,5399,LONDON,GB,Shopping,"Department stores, general retail",Wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule
83196834 ZINZINO,zinzino,5499,VAESTRA FROEL,SE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule
TARGET        00010421,target,5411,ELLICOTT CITY,US,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
LIME*PASS BZ2S,lime pass,4789,PARIS,FR,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
PUXEIROS -GONDOMAR  12:53,puxeiros gondomar,4784,A CORU#A,ES,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
MFIINVEST/1WIN.PRO,mfiinvest pro,7995,NICOSIA,CY,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule
A081B ROI BASI,roi basi,4899,DUBLIN 4,IE,Bills and Utilities,"Electricity, telecom, utilities",Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule
BURGER KING,burger king,5814,KOLIN - KOLIN,CZ,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Fast Food Restaurants,0.95,rule_based,mcc_rule
SHELL OIL 10008058009,shell oil,5541,MORENO VALLEY,US,Fuel & Automotive,"Gas Stations, Auto dealers, automotive services",Wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule
ACME CANGGU,acme canggu,5812,BADUNG (KAB),ID,Restaurants & Dining,"Restaurants, cafes, fast food",Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Restaurants,0.95,rule_based,mcc_rule
VQ79RXNTF2R3,,4111,ST BARTHELEMY,FR,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
DELIJN##HASH##,delijn hash,4111,DL LIPZD9WB,BE,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
PAYPAL *SPOTIFY*P38398,paypal spotify,5815,35314369001,SE,,,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",,0.0,rule_based,
TRADEIT.GG - X297,tradeit,7993,14153496875,US,Entertainment & Leisure,"Cinemas, gaming, amusement, recreation",Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule
BOULEVARDEN APS,boulevarden aps,5813,AARHUS C,DK,Bars & Alcohol,Bars,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content",Bars / Taverns,0.95,rule_based,mcc_rule
2601310247FERTAGUS,,4111,ALMADA,PT,Transport & Taxis,"Taxi, public transport",Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule
TISAK P-0200,tisak,5994,ZAGREB,HR,,,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,
MONZO * ME ZITA IKERION,monzo zita ikerion,6012,LONDON,GB,Financial Services,"ATM withdrawals, financial institutions",Financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule
SELECTA 750,selecta,5411,BOOM,BE,Groceries,"Grocery stores, supermarkets",Wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule
LIME*PASS 6EKY,lime pass,4789,WARSZAWA,PL,,,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,
